年份,子赛事,学校,队伍名称,OS,查重分支,终选repo,初赛fork版,初赛fork版访问情况,源地址,源地址访问情况,决赛fork版,决赛fork版访问情况,备注
2026,内核实现赛道,哈尔滨工业大学,Quasar,,main,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T202610213999576-845,可访问,https://gitlab.eduxiji.net/T202610213999576/oskernel2026-quasar,,,,
2026,内核实现赛道,哈尔滨工业大学,菜鸟队,,main,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T202610213999887-1415,可访问,https://gitlab.eduxiji.net/T202610213999887/oskernel2026,,,,
2026,内核实现赛道,华东师范大学,0xDEADBEEF,,main,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T2026102699910462-2452,可访问,https://gitlab.eduxiji.net/T2026102699910462/oskernel2026-0xdeadbeef,,,,
2026,内核实现赛道,华东师范大学,花狮小队,,os2026-1,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T2026102699911199-3831,可访问,https://gitlab.eduxiji.net/T2026102699911199/oskernel2025-seaos,,,,
2026,内核实现赛道,杭州电子科技大学,拼好核,,main,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T2026103369910030-2019,可访问,https://gitlab.eduxiji.net/T2026103369910030/oskernel2026-kernelx,,,,
2026,内核实现赛道,杭州电子科技大学,下一队,,main,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T2026103369910037-3065,可访问,https://gitlab.eduxiji.net/T202510336998017/project3035746-357269,,,,
2026,内核实现赛道,杭州电子科技大学,DDU,,main,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T2026103369910203-124,可访问,https://gitlab.eduxiji.net/T2026103369910203/dduos,,,,
2026,内核实现赛道,杭州电子科技大学,CosmOS,,main,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T2026103369910596-635,可访问,https://gitlab.eduxiji.net/T2026103369910596/cosmos,,,,
2026,内核实现赛道,杭州电子科技大学,OrayS,,main,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T202610336999888-3470,可访问,https://gitlab.eduxiji.net/T202610336999888/oskernel2026-orays,,,,
2026,内核实现赛道,杭州师范大学,DOTADIW,,main,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T202610346999652-1129,可访问,https://gitlab.eduxiji.net/T202610346999652/oskernel2026,,,,
2026,内核实现赛道,合肥工业大学,陶酉册,,main,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T202610359999721-2135,可访问,https://gitlab.eduxiji.net/T202510359998209/2026os,,,,
2026,内核实现赛道,山东大学(青岛),LEBRONDIDDY,,main,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T2026104229910571-2627,可访问,https://gitlab.eduxiji.net/T2026104229910571/oskernel2025-x,,,,
2026,内核实现赛道,山东大学(青岛),比特工匠队,,main,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T202610422999620-3166,可访问,https://gitlab.eduxiji.net/T202610422999620/RespOS,,,,
2026,内核实现赛道,山东大学(青岛),OuterSystems,,main,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T202610422999926-98,可访问,https://gitlab.eduxiji.net/T202610422999926/wateros,,,,
2026,内核实现赛道,郑州大学,PulseOS,,main,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T202610459999616-2917,可访问,https://gitlab.eduxiji.net/T202610459999616/OSKernel2026-PulseOS,,,,
2026,内核实现赛道,郑州大学,Nexus,,main,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T202610459999656-3598,可访问,https://gitlab.eduxiji.net/T202610459999656/oskernel2026-nexusos,,,,
2026,内核实现赛道,武汉大学,猛火烧烤队,,main,,https://gitlab.eduxiji.net/educg-group-43501-3132633/T2026104869910054-3130,可访问,https://gitlab.eduxiji.net/T2026104869910054/oskernel2026-goodos,,,,
